family	ocean_conservative	soil	wastewater	total
asnB	23	57	1	81
cgeB	0	24	0	24
dcm	5797	2	0	5799
dsrC_tusE	9	0	0	9
dut	1760	0	0	1760
folate	1063	50	9	1122
galE	636	227	0	863
glmS	0	39	0	39
glycoside_hydrolase	21	4	0	25
glycosyltransferase	2	29	0	31
gmd	338	37	2	377
hisF	4	13	0	17
HMGCL	330	0	0	330
IMPDH	496	6	0	502
iscU	722	0	0	722
K07336	2175	8	0	2183
manB	494	0	0	494
NAMPT	1	36	4	41
nodU	1577	0	0	1577
nrdH	0	23	0	23
P4HA	370	0	1	371
phoH	2957	0	4	2961
psbA	128	0	0	128
psbD	29	0	0	29
pseB	1	16	0	17
queuosine	2156	77	20	2253
raxST	502	0	0	502
rfbB	239	53	0	292
rfbC	0	55	0	55
speD	327	1	0	328
tagD	340	0	0	340
TALDO1	548	0	0	548
UGDH	948	76	0	1024
xtmA	0	3	0	3
xtmB	0	1	0	1
