ec	n_uniprot_xrefs	description
1.1.1.1	253	alcohol dehydrogenase.
1.1.1.2	36	alcohol dehydrogenase (NADP(+)).
1.1.1.3	35	homoserine dehydrogenase.
1.1.1.4	6	(R,R)-butanediol dehydrogenase.
1.1.1.6	9	glycerol dehydrogenase.
1.1.1.7	0	propanediol-phosphate dehydrogenase.
1.1.1.8	53	glycerol-3-phosphate dehydrogenase (NAD(+)).
1.1.1.9	31	D-xylulose reductase.
1.1.1.10	10	L-xylulose reductase.
1.1.1.11	3	D-arabinitol 4-dehydrogenase.
1.1.1.12	7	L-arabinitol 4-dehydrogenase.
1.1.1.13	0	L-arabinitol 2-dehydrogenase.
1.1.1.14	12	L-iditol 2-dehydrogenase.
1.1.1.15	1	D-iditol 2-dehydrogenase.
1.1.1.16	3	galactitol 2-dehydrogenase.
1.1.1.17	160	mannitol-1-phosphate 5-dehydrogenase.
1.1.1.18	65	inositol 2-dehydrogenase.
1.1.1.19	7	glucuronate reductase.
1.1.1.20	7	glucuronolactone reductase.
1.1.1.21	17	aldose reductase.
1.1.1.22	45	UDP-glucose 6-dehydrogenase.
1.1.1.23	220	histidinol dehydrogenase.
1.1.1.24	5	quinate/shikimate dehydrogenase (NAD(+)).
1.1.1.25	537	shikimate dehydrogenase (NADP(+)).
1.1.1.26	12	glyoxylate reductase.
1.1.1.27	311	L-lactate dehydrogenase.
1.1.1.28	23	D-lactate dehydrogenase.
1.1.1.29	5	glycerate dehydrogenase.
1.1.1.30	15	3-hydroxybutyrate dehydrogenase.
1.1.1.31	18	3-hydroxyisobutyrate dehydrogenase.
1.1.1.34	67	hydroxymethylglutaryl-CoA reductase (NADPH).
1.1.1.35	226	3-hydroxyacyl-CoA dehydrogenase.
1.1.1.36	9	acetoacetyl-CoA reductase.
1.1.1.37	592	(S)-malate dehydrogenase (NAD(+), oxaloacetate-forming).
1.1.1.38	120	malate dehydrogenase (oxaloacetate-decarboxylating).
1.1.1.39	6	malate dehydrogenase (decarboxylating).
1.1.1.40	32	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)).
1.1.1.41	25	isocitrate dehydrogenase (NAD(+)).
1.1.1.42	72	isocitrate dehydrogenase (NADP(+)).
1.1.1.43	0	phosphogluconate 2-dehydrogenase.
1.1.1.44	62	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating).
1.1.1.45	7	L-gulonate 3-dehydrogenase.
1.1.1.46	0	L-arabinose 1-dehydrogenase.
1.1.1.47	32	glucose 1-dehydrogenase [NAD(P)(+)].
1.1.1.48	4	D-galactose 1-dehydrogenase.
1.1.1.49	73	glucose-6-phosphate dehydrogenase (NADP(+)).
1.1.1.50	3	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific).
1.1.1.51	15	3(or 17)beta-hydroxysteroid dehydrogenase.
1.1.1.52	1	3alpha-hydroxycholanate dehydrogenase (NAD(+)).
1.1.1.53	34	3alpha(or 20beta)-hydroxysteroid dehydrogenase.
1.1.1.54	17	allyl-alcohol dehydrogenase.
1.1.1.55	0	lactaldehyde reductase (NADPH).
1.1.1.56	3	ribitol 2-dehydrogenase.
1.1.1.57	2	fructuronate reductase.
1.1.1.58	38	tagaturonate reductase.
1.1.1.59	0	3-hydroxypropionate dehydrogenase.
1.1.1.60	3	2-hydroxy-3-oxopropionate reductase.
1.1.1.61	3	4-hydroxybutyrate dehydrogenase.
1.1.1.62	66	17beta-estradiol 17-dehydrogenase.
1.1.1.64	8	testosterone 17beta-dehydrogenase (NADP(+)).
1.1.1.65	5	pyridoxine 4-dehydrogenase.
1.1.1.66	3	omega-hydroxydecanoate dehydrogenase.
1.1.1.67	14	mannitol 2-dehydrogenase.
1.1.1.69	2	gluconate 5-dehydrogenase.
1.1.1.71	8	alcohol dehydrogenase [NAD(P)(+)].
1.1.1.72	1	glycerol dehydrogenase (NADP(+)).
1.1.1.73	1	octanol dehydrogenase.
1.1.1.75	1	(R)-aminopropanol dehydrogenase.
1.1.1.76	1	(S,S)-butanediol dehydrogenase.
1.1.1.77	2	lactaldehyde reductase.
1.1.1.78	1	methylglyoxal reductase (NADH).
1.1.1.79	118	glyoxylate reductase (NADP(+)).
1.1.1.80	4	isopropanol dehydrogenase (NADP(+)).
1.1.1.81	119	hydroxypyruvate reductase.
1.1.1.82	9	malate dehydrogenase (NADP(+)).
1.1.1.83	9	D-malate dehydrogenase (decarboxylating).
1.1.1.84	0	dimethylmalate dehydrogenase.
1.1.1.85	305	3-isopropylmalate dehydrogenase.
1.1.1.86	642	ketol-acid reductoisomerase (NADP(+)).
1.1.1.87	3	homoisocitrate dehydrogenase.
1.1.1.88	2	hydroxymethylglutaryl-CoA reductase.
1.1.1.90	2	aryl-alcohol dehydrogenase.
1.1.1.91	1	aryl-alcohol dehydrogenase (NADP(+)).
1.1.1.92	0	oxaloglycolate reductase (decarboxylating).
1.1.1.93	7	tartrate dehydrogenase.
1.1.1.94	593	glycerol-3-phosphate dehydrogenase [NAD(P)(+)].
1.1.1.95	29	phosphoglycerate dehydrogenase.
1.1.1.97	0	3-hydroxybenzyl-alcohol dehydrogenase.
1.1.1.98	0	(R)-2-hydroxy-fatty-acid dehydrogenase.
1.1.1.99	0	(S)-2-hydroxy-fatty-acid dehydrogenase.
1.1.1.100	75	3-oxoacyl-[acyl-carrier-protein] reductase.
1.1.1.101	10	acylglycerone-phosphate reductase.
1.1.1.102	21	3-dehydrosphinganine reductase.
1.1.1.103	188	L-threonine 3-dehydrogenase.
1.1.1.104	7	4-oxoproline reductase.
1.1.1.105	32	all-trans-retinol dehydrogenase (NAD(+)).
1.1.1.106	0	pantoate 4-dehydrogenase.
1.1.1.107	2	pyridoxal 4-dehydrogenase.
1.1.1.108	17	carnitine 3-dehydrogenase.
1.1.1.110	3	aromatic 2-oxoacid reductase.
1.1.1.111	0	3-(imidazol-5-yl)lactate dehydrogenase.
1.1.1.112	5	indanol dehydrogenase.
1.1.1.113	0	L-xylose 1-dehydrogenase.
1.1.1.114	0	apiose 1-reductase.
1.1.1.115	12	ribose 1-dehydrogenase (NADP(+)).
1.1.1.116	1	D-arabinose 1-dehydrogenase (NAD(+)).
1.1.1.117	1	D-arabinose 1-dehydrogenase [NAD(P)(+)].
1.1.1.118	0	glucose 1-dehydrogenase (NAD(+)).
1.1.1.119	13	glucose 1-dehydrogenase (NADP(+)).
1.1.1.120	15	galactose 1-dehydrogenase (NADP(+)).
1.1.1.121	0	aldose 1-dehydrogenase (NAD(+)).
1.1.1.122	6	D-threo-aldose 1-dehydrogenase.
1.1.1.123	0	sorbose 5-dehydrogenase (NADP(+)).
1.1.1.124	1	fructose 5-dehydrogenase (NADP(+)).
1.1.1.125	0	2-deoxy-D-gluconate 3-dehydrogenase.
1.1.1.126	0	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase.
1.1.1.127	5	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase.
1.1.1.129	0	L-threonate 3-dehydrogenase.
1.1.1.130	41	3-dehydro-L-gulonate 2-dehydrogenase.
1.1.1.131	0	mannuronate reductase.
1.1.1.132	6	GDP-mannose 6-dehydrogenase.
1.1.1.133	12	dTDP-4-dehydrorhamnose reductase.
1.1.1.134	0	dTDP-6-deoxy-L-talose 4-dehydrogenase.
1.1.1.135	1	GDP-6-deoxy-D-talose 4-dehydrogenase.
1.1.1.136	4	UDP-N-acetylglucosamine 6-dehydrogenase.
1.1.1.137	0	ribitol-5-phosphate 2-dehydrogenase.
1.1.1.138	7	mannitol 2-dehydrogenase (NADP(+)).
1.1.1.140	2	sorbitol-6-phosphate 2-dehydrogenase.
1.1.1.141	6	15-hydroxyprostaglandin dehydrogenase (NAD(+)).
1.1.1.142	0	D-pinitol dehydrogenase.
1.1.1.143	0	sequoyitol dehydrogenase.
1.1.1.144	3	perillyl-alcohol dehydrogenase.
1.1.1.145	25	3beta-hydroxy-Delta(5)-steroid dehydrogenase.
1.1.1.146	15	11beta-hydroxysteroid dehydrogenase.
1.1.1.147	0	16alpha-hydroxysteroid dehydrogenase.
1.1.1.148	0	estradiol 17alpha-dehydrogenase.
1.1.1.149	8	20alpha-hydroxysteroid dehydrogenase.
1.1.1.150	0	21-hydroxysteroid dehydrogenase (NAD(+)).
1.1.1.151	0	21-hydroxysteroid dehydrogenase (NADP(+)).
1.1.1.152	0	3alpha-hydroxy-5beta-androstane-17-one 3alpha-dehydrogenase.
1.1.1.153	8	sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming).
1.1.1.154	0	ureidoglycolate dehydrogenase [NAD(P)(+)].
1.1.1.156	2	glycerol 2-dehydrogenase (NADP(+)).
1.1.1.157	9	3-hydroxybutyryl-CoA dehydrogenase.
1.1.1.159	7	7alpha-hydroxysteroid dehydrogenase.
1.1.1.160	0	dihydrobunolol dehydrogenase.
1.1.1.162	1	erythrulose reductase.
1.1.1.163	2	cyclopentanol dehydrogenase.
1.1.1.164	0	hexadecanol dehydrogenase.
1.1.1.165	0	2-alkyn-1-ol dehydrogenase.
1.1.1.166	0	hydroxycyclohexanecarboxylate dehydrogenase.
1.1.1.167	0	hydroxymalonate dehydrogenase.
1.1.1.168	0	2-dehydropantolactone reductase (Re-specific).
1.1.1.169	32	2-dehydropantoate 2-reductase.
1.1.1.170	9	3beta-hydroxysteroid-4alpha-carboxylate 3-dehydrogenase(decarboxylating).
1.1.1.172	0	2-oxoadipate reductase.
1.1.1.173	1	L-rhamnose 1-dehydrogenase.
1.1.1.174	0	cyclohexane-1,2-diol dehydrogenase.
1.1.1.175	2	D-xylose 1-dehydrogenase.
1.1.1.176	1	12alpha-hydroxysteroid dehydrogenase.
1.1.1.177	0	glycerol-3-phosphate 1-dehydrogenase (NADP(+)).
1.1.1.178	4	3-hydroxy-2-methylbutyryl-CoA dehydrogenase.
1.1.1.179	16	D-xylose 1-dehydrogenase (NADP(+), D-xylono-1,5-lactone-forming).
1.1.1.181	3	cholest-5-ene-3beta,7alpha-diol 3beta-dehydrogenase.
1.1.1.183	1	geraniol dehydrogenase (NADP(+)).
1.1.1.184	26	carbonyl reductase (NADPH).
1.1.1.185	0	L-glycol dehydrogenase.
1.1.1.186	0	dTDP-galactose 6-dehydrogenase.
1.1.1.187	0	GDP-4-dehydro-D-rhamnose reductase.
1.1.1.188	3	prostaglandin-F synthase.
1.1.1.189	9	prostaglandin-E2 9-reductase.
1.1.1.190	1	indole-3-acetaldehyde reductase (NADH).
1.1.1.191	1	indole-3-acetaldehyde reductase (NADPH).
1.1.1.192	2	long-chain-alcohol dehydrogenase.
1.1.1.193	18	5-amino-6-(5-phosphoribosylamino)uracil reductase.
1.1.1.194	1	coniferyl-alcohol dehydrogenase.
1.1.1.195	43	cinnamyl-alcohol dehydrogenase.
1.1.1.196	8	15-hydroxyprostaglandin-D dehydrogenase (NADP(+)).
1.1.1.197	8	15-hydroxyprostaglandin dehydrogenase (NADP(+)).
1.1.1.198	2	(+)-borneol dehydrogenase.
1.1.1.199	0	(S)-usnate reductase.
1.1.1.200	1	aldose-6-phosphate reductase (NADPH).
1.1.1.201	13	7beta-hydroxysteroid dehydrogenase (NADP(+)).
1.1.1.202	2	1,3-propanediol dehydrogenase.
1.1.1.203	3	uronate dehydrogenase.
1.1.1.205	89	IMP dehydrogenase.
1.1.1.206	3	tropinone reductase I.
1.1.1.207	0	(-)-menthol dehydrogenase.
1.1.1.208	2	(+)-neomenthol dehydrogenase.
1.1.1.209	25	3(or 17)alpha-hydroxysteroid dehydrogenase.
1.1.1.210	23	3beta-(or 20alpha)-hydroxysteroid dehydrogenase.
1.1.1.211	4	long-chain-3-hydroxyacyl-CoA dehydrogenase.
1.1.1.212	1	3-oxoacyl-[acyl-carrier-protein] reductase (NADH).
1.1.1.213	0	3alpha-hydroxysteroid dehydrogenase (Re-specific).
1.1.1.214	0	2-dehydropantolactone reductase (Si-specific).
1.1.1.215	4	gluconate 2-dehydrogenase.
1.1.1.216	3	farnesol dehydrogenase.
1.1.1.217	0	benzyl-2-methyl-hydroxybutyrate dehydrogenase.
1.1.1.218	3	morphine 6-dehydrogenase.
1.1.1.219	14	dihydroflavanol 4-reductase.
1.1.1.220	0	6-pyruvoyltetrahydropterin 2'-reductase.
1.1.1.221	0	vomifoliol dehydrogenase.
1.1.1.223	1	isopiperitenol dehydrogenase.
1.1.1.224	0	mannose-6-phosphate 6-reductase.
1.1.1.225	4	chlordecone reductase.
1.1.1.226	1	trans-4-hydroxycyclohexanecarboxylate dehydrogenase.
1.1.1.227	0	(-)-borneol dehydrogenase.
1.1.1.228	0	(+)-sabinol dehydrogenase.
1.1.1.229	0	diethyl 2-methyl-3-oxosuccinate reductase.
1.1.1.230	0	3alpha-hydroxyglycyrrhetinate dehydrogenase.
1.1.1.231	0	15-hydroxyprostaglandin-I dehydrogenase (NADP(+)).
1.1.1.232	6	15-hydroxyicosatetraenoate dehydrogenase.
1.1.1.233	1	N-acylmannosamine 1-dehydrogenase.
1.1.1.234	13	flavanone 4-reductase.
1.1.1.235	0	8-oxocoformycin reductase.
1.1.1.236	3	tropinone reductase II.
1.1.1.237	3	hydroxyphenylpyruvate reductase.
1.1.1.238	0	12beta-hydroxysteroid dehydrogenase.
1.1.1.239	20	3alpha-(17beta)-hydroxysteroid dehydrogenase (NAD(+)).
1.1.1.240	0	N-acetylhexosamine 1-dehydrogenase.
1.1.1.241	0	6-endo-hydroxycineole dehydrogenase.
1.1.1.243	2	carveol dehydrogenase.
1.1.1.244	1	methanol dehydrogenase.
1.1.1.245	4	cyclohexanol dehydrogenase.
1.1.1.247	5	codeinone reductase (NADPH).
1.1.1.248	2	salutaridine reductase (NADPH).
1.1.1.250	4	D-arabinitol 2-dehydrogenase.
1.1.1.251	2	galactitol-1-phosphate 5-dehydrogenase.
1.1.1.252	3	tetrahydroxynaphthalene reductase.
1.1.1.254	0	(S)-carnitine 3-dehydrogenase.
1.1.1.255	7	mannitol dehydrogenase.
1.1.1.256	1	fluoren-9-ol dehydrogenase.
1.1.1.257	2	4-(hydroxymethyl)benzenesulfonate dehydrogenase.
1.1.1.258	1	6-hydroxyhexanoate dehydrogenase.
1.1.1.259	0	3-hydroxypimeloyl-CoA dehydrogenase.
1.1.1.260	0	sulcatone reductase.
1.1.1.261	68	sn-glycerol-1-phosphate dehydrogenase.
1.1.1.262	138	4-hydroxythreonine-4-phosphate dehydrogenase.
1.1.1.263	5	1,5-anhydro-D-fructose reductase.
1.1.1.264	1	L-idonate 5-dehydrogenase [NAD(P)(+)].
1.1.1.265	1	3-methylbutanal reductase.
1.1.1.266	1	dTDP-4-dehydro-6-deoxyglucose reductase.
