family	namespace	accession	official_description	ocean_conservative	ocean_permissive	soil	wastewater	total	status	note
dcm	KO	K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	5797	8543	1	0	14341	INCLUDED	
dcm	KO	K17398	DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]	0	0	1	0	1	INCLUDED	
dcm	PFAM	PF00145	C-5 cytosine-specific DNA methylase	5381	7927	0	0	13308	INCLUDED	
queuosine	KO	K01737	queD, ptpS, PTS; 6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	1206	2594	15	7	3822	AMBIGUOUS	queD / 6-pyruvoyl tetrahydropterin synthase — pterin shared with folate
queuosine	KO	K06879	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	279	639	1	0	919	INCLUDED	
queuosine	KO	K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	626	1301	54	5	1986	INCLUDED	
queuosine	KO	K09457	queF; 7-cyano-7-deazaguanine reductase [EC:1.7.1.13]	45	139	7	1	192	INCLUDED	
queuosine	KO	K10026	queE; 7-carboxy-7-deazaguanine synthase [EC:4.3.99.3]	0	0	0	7	7	INCLUDED	
queuosine	PFAM	PF01242	6-pyruvoyl tetrahydropterin synthase	1337	2930	0	1	4268	AMBIGUOUS	6-pyruvoyl tetrahydropterin synthase — pterin shared with folate
queuosine	PFAM	PF06508	Queuosine biosynthesis protein QueC	927	1984	0	3	2914	INCLUDED	
queuosine	PFAM	PF14489	QueF-like protein	53	155	0	1	209	INCLUDED	
queuosine	PFAM	PF14819	Nitrile reductase, 7-cyano-7-deazaguanine-reductase N-term	270	638	0	0	908	INCLUDED	
dsrC_tusE	KO	K11179	tusE, dsrC; tRNA 2-thiouridine synthesizing protein E [EC:2.8.1.-]	9	13	0	0	22	INCLUDED	
dsrC_tusE	PFAM	PF04358	DsrC like protein	24	42	0	0	66	INCLUDED	
folate	KO	K00287	DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]	0	0	0	2	2	INCLUDED	
folate	KO	K00548	metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]	0	4	0	0	4	INCLUDED	
folate	KO	K01433	purU; formyltetrahydrofolate deformylase [EC:3.5.1.10]	0	2	0	0	2	INCLUDED	
folate	KO	K01491	folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]	0	4	1	0	5	INCLUDED	
folate	KO	K01495	GCH1, folE; GTP cyclohydrolase IA [EC:3.5.4.16]	1023	1893	47	7	2970	AMBIGUOUS	folE / GTP cyclohydrolase I — first step of BOTH folate and queuosine
folate	KO	K01633	folB; 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	0	1	0	0	1	INCLUDED	
folate	KO	K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]	37	184	0	0	221	AMBIGUOUS	folE2 / GTP cyclohydrolase IB — same folate/queuosine branch point as folE
folate	KO	K13938	folM; dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]	0	1	0	0	1	INCLUDED	
folate	KO	K13998	DHFR-TS; dihydrofolate reductase / thymidylate synthase [EC:1.5.1.3 2.1.1.45]	3	7	0	0	10	INCLUDED	
folate	KO	K14652	ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]	0	49	1	0	50	EXCLUDED	WRONG PATHWAY. ribBA is GTP cyclohydrolase II — RIBOFLAVIN biosynthesis. Folate and queuosine use GTP cyclohydrolase I. Matched only on the shared string 'GTP cyclohydrolase'. Roman numerals distinguish two unrelated enzymes here.
folate	KO	K19645	dfrB, dfr2; dihydrofolate reductase (trimethoprim resistance protein) [EC:1.5.1.3]	0	0	2	0	2	INCLUDED	
folate	PFAM	PF00186	Dihydrofolate reductase	2	6	0	1	9	INCLUDED	
folate	PFAM	PF01227	GTP cyclohydrolase I	1375	2604	0	6	3985	AMBIGUOUS	GTP cyclohydrolase I — first step of BOTH folate and queuosine
folate	PFAM	PF01571	Aminomethyltransferase folate-binding domain	0	2	0	0	2	INCLUDED	
